pop,asn,type
saopaulo,23344,route_server_peer
saopaulo,28610,route_server_peer
saopaulo,269672,route_server_peer
saopaulo,264550,route_server_peer
saopaulo,267530,route_server_peer
saopaulo,263470,route_server_peer
saopaulo,263433,route_server_peer
saopaulo,61786,route_server_peer
saopaulo,262478,route_server_peer
saopaulo,267076,route_server_peer
saopaulo,268214,route_server_peer
saopaulo,263869,route_server_peer
saopaulo,53101,route_server_peer
saopaulo,61822,route_server_peer
saopaulo,268976,route_server_peer
saopaulo,6507,route_server_peer
saopaulo,28589,route_server_peer
saopaulo,265475,route_server_peer
saopaulo,266002,route_server_peer
saopaulo,268042,route_server_peer
saopaulo,53181,route_server_peer
saopaulo,271300,route_server_peer
saopaulo,264571,route_server_peer
saopaulo,267463,route_server_peer
saopaulo,45474,route_server_peer
saopaulo,266357,route_server_peer
saopaulo,267521,route_server_peer
saopaulo,262385,route_server_peer
saopaulo,28128,route_server_peer
saopaulo,265482,route_server_peer
saopaulo,53100,route_server_peer
saopaulo,270589,route_server_peer
saopaulo,28186,route_server_peer
saopaulo,273767,route_server_peer
saopaulo,262659,route_server_peer
saopaulo,268623,route_server_peer
saopaulo,262644,route_server_peer
saopaulo,61784,route_server_peer
saopaulo,264519,route_server_peer
saopaulo,271544,route_server_peer
saopaulo,262791,route_server_peer
saopaulo,268527,route_server_peer
saopaulo,61805,route_server_peer
saopaulo,271632,route_server_peer
saopaulo,262977,route_server_peer
saopaulo,268721,route_server_peer
saopaulo,265317,route_server_peer
saopaulo,263998,route_server_peer
saopaulo,268698,route_server_peer
saopaulo,263035,route_server_peer
saopaulo,268446,route_server_peer
saopaulo,267366,route_server_peer
saopaulo,269595,route_server_peer
saopaulo,262518,route_server_peer
saopaulo,266059,route_server_peer
saopaulo,266191,route_server_peer
saopaulo,61584,route_server_peer
saopaulo,264872,route_server_peer
saopaulo,269053,route_server_peer
saopaulo,267325,route_server_peer
saopaulo,37721,route_server_peer
saopaulo,30081,route_server_peer
saopaulo,263042,route_server_peer
saopaulo,265169,route_server_peer
saopaulo,28125,route_server_peer
saopaulo,268013,route_server_peer
saopaulo,267398,route_server_peer
saopaulo,262463,route_server_peer
saopaulo,262811,route_server_peer
saopaulo,262346,route_server_peer
saopaulo,270311,route_server_peer
saopaulo,61573,route_server_peer
saopaulo,52820,route_server_peer
saopaulo,269444,route_server_peer
saopaulo,269517,route_server_peer
saopaulo,268592,route_server_peer
saopaulo,61870,route_server_peer
saopaulo,262352,route_server_peer
saopaulo,266636,route_server_peer
saopaulo,28176,route_server_peer
saopaulo,268628,route_server_peer
saopaulo,36351,peer
saopaulo,270341,route_server_peer
saopaulo,271733,route_server_peer
saopaulo,262649,route_server_peer
saopaulo,61595,route_server_peer
saopaulo,14282,route_server_peer
saopaulo,52932,route_server_peer
saopaulo,61580,route_server_peer
saopaulo,266211,route_server_peer
saopaulo,15695,route_server_peer
saopaulo,270673,route_server_peer
saopaulo,263596,route_server_peer
saopaulo,265336,route_server_peer
saopaulo,268945,route_server_peer
saopaulo,269366,route_server_peer
saopaulo,269352,route_server_peer
saopaulo,266145,route_server_peer
saopaulo,263980,route_server_peer
saopaulo,265917,route_server_peer
saopaulo,267522,route_server_peer
saopaulo,263002,route_server_peer
saopaulo,267294,route_server_peer
saopaulo,266107,route_server_peer
saopaulo,269286,route_server_peer
saopaulo,266166,route_server_peer
saopaulo,264490,route_server_peer
saopaulo,267484,route_server_peer
saopaulo,265187,route_server_peer
saopaulo,263948,route_server_peer
saopaulo,21859,route_server_peer
saopaulo,263047,route_server_peer
saopaulo,269359,route_server_peer
saopaulo,28585,route_server_peer
saopaulo,263357,route_server_peer
saopaulo,268396,route_server_peer
saopaulo,266152,route_server_peer
saopaulo,268168,route_server_peer
saopaulo,264424,route_server_peer
saopaulo,268589,route_server_peer
saopaulo,263445,route_server_peer
saopaulo,265232,route_server_peer
saopaulo,270581,route_server_peer
saopaulo,262889,route_server_peer
saopaulo,266498,route_server_peer
saopaulo,52751,route_server_peer
saopaulo,32787,route_server_peer
saopaulo,11432,route_server_peer
saopaulo,22177,route_server_peer
saopaulo,266586,route_server_peer
saopaulo,61592,route_server_peer
saopaulo,270442,route_server_peer
saopaulo,271478,route_server_peer
saopaulo,266571,route_server_peer
